scan,rater_1,rater_2,rater_3,rater_4
sub-7867_ses-baseline__,no,yes,no,no
sub-7867_ses-month24__,no,yes,no,no
sub-7867_ses-month48__,no,no,no,no
sub-7871_ses-month24__,yes,yes,yes,yes
sub-7872_ses-month48__,no,no,no,no
sub-7874_ses-baseline__,yes,yes,yes,yes
sub-7880_ses-baseline__,yes,yes,yes,yes
sub-7885_ses-baseline__,yes,yes,yes,yes
sub-7885_ses-month24__,yes,yes,yes,yes
sub-7886_ses-baseline__,no,no,no,no
sub-7892_ses-month48__,yes,yes,yes,yes
sub-7905_ses-baseline__,yes,yes,yes,yes
sub-7911_ses-baseline__,no,no,no,no
sub-7911_ses-month24__,no,no,no,no
sub-7911_ses-month48__,no,no,yes,no
sub-7916_ses-baseline__,yes,yes,yes,yes
sub-7930_ses-month24__,yes,yes,yes,yes
sub-7930_ses-month48__,yes,yes,yes,yes
sub-7931_ses-baseline__,yes,yes,yes,yes
sub-7934_ses-baseline__,yes,yes,yes,yes
sub-7937_ses-month48__,no,no,no,no
sub-7938_ses-baseline__,yes,yes,yes,yes
sub-7940_ses-month24__,yes,yes,yes,yes
sub-7950_ses-month48__,no,yes,no,no
sub-7953_ses-baseline__,yes,yes,yes,yes
sub-7959_ses-month24__,yes,yes,yes,yes
sub-7960_ses-month48__,yes,yes,yes,yes
sub-7964_ses-baseline__,no,no,no,no
sub-7964_ses-month24__,no,no,no,no
sub-7964_ses-month48__,no,no,no,no
sub-7975_ses-baseline__,yes,yes,yes,yes
sub-7977_ses-month24__,no,no,no,no
sub-7980_ses-month24__,yes,yes,yes,yes
sub-7983_ses-baseline__,yes,yes,yes,yes
sub-7985_ses-baseline__,no,no,no,no
sub-7989_ses-month24__,yes,yes,yes,yes
sub-7994_ses-baseline__,yes,yes,yes,yes
sub-8003_ses-baseline__,yes,yes,yes,yes
sub-8011_ses-baseline__,yes,yes,yes,yes
sub-8012_ses-month24__,yes,yes,yes,yes
sub-8013_ses-month48__,yes,yes,yes,yes
sub-8017_ses-baseline__,no,no,no,no
sub-8020_ses-month24__,yes,yes,yes,yes
sub-8037_ses-baseline__,no,no,no,no
sub-8038_ses-month24__,yes,yes,yes,yes
sub-8042_ses-month24__,yes,yes,yes,yes
sub-8042_ses-month48__,yes,yes,yes,yes
sub-8043_ses-month24__,yes,yes,yes,yes
sub-8044_ses-month24__,yes,yes,yes,yes
sub-8045_ses-baseline__,no,yes,no,no
sub-8045_ses-month48__,no,yes,no,no
sub-8047_ses-baseline__,yes,yes,yes,yes
sub-8055_ses-month24__,yes,yes,yes,yes
sub-8058_ses-month48__,no,yes,no,no
sub-8066_ses-month24__,yes,yes,yes,yes
sub-8071_ses-baseline__,yes,yes,yes,yes
sub-8079_ses-baseline__,yes,yes,yes,yes
sub-8081_ses-baseline__,yes,yes,yes,yes
sub-8082_ses-baseline__,yes,yes,yes,yes
sub-8088_ses-baseline__,no,no,no,no
sub-8088_ses-month24__,no,no,yes,no
sub-8094_ses-baseline__,no,no,no,no
sub-8094_ses-month48__,no,no,no,no
sub-8096_ses-month24__,yes,yes,yes,yes
